Provider,PotentialFraud,InscClaimAmtReimbursed,DeductibleAmtPaid,AdmitForDays,NoOfMonths_PartACov,NoOfMonths_PartBCov,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,Age,WhetherDead,Gender_2,Race_2,Race_3,Race_5
PRV51001,0,104640,5340.0,30.0,300,300,15,19,17,5,10,9,21,23,6,8,6,440150,22428,65380,11598,1971.0,0.0,16.0,4.0,0.0,0.0
PRV51003,1,605670,66286.0,382.0,1560,1567,56,80,64,10,41,54,100,112,33,38,12,999000,122948,353520,97300,9243.0,1.0,78.0,24.0,0.0,1.0
PRV51004,0,52170,310.0,0.0,1768,1782,64,88,50,16,41,63,105,108,49,46,17,648430,64808,327040,92790,10752.0,1.0,103.0,24.0,5.0,0.0
PRV51005,1,280910,3700.0,0.0,13872,13910,426,680,507,165,295,485,799,895,344,331,124,4221950,441724,2457840,741323,82104.0,4.0,654.0,262.0,10.0,0.0
PRV51007,0,33710,3264.0,19.0,852,852,26,40,22,12,16,29,49,51,21,22,12,219600,32040,124540,33820,4989.0,1.0,38.0,14.0,0.0,0.0
PRV51008,0,35630,2316.0,10.0,516,516,17,25,14,9,9,12,30,33,11,6,2,283460,26700,110530,26490,3252.0,0.0,24.0,9.0,0.0,0.0
PRV51011,0,16630,1368.0,6.0,696,696,25,37,25,4,21,31,41,44,20,16,2,256060,39108,81160,21270,4314.0,1.0,31.0,7.0,0.0,0.0
PRV51012,0,16890,100.0,0.0,576,552,18,26,22,6,21,19,35,38,17,17,3,332900,40316,182110,35290,3575.0,0.0,37.0,7.0,0.0,0.0
PRV51013,0,14880,230.0,0.0,552,552,17,26,19,4,16,18,37,36,12,16,2,167240,27292,148420,42080,3422.0,0.0,34.0,3.0,0.0,0.0
PRV51014,0,10480,120.0,0.0,360,360,16,17,16,2,9,10,19,20,6,12,3,83590,12816,52270,19480,2136.0,1.0,23.0,3.0,0.0,0.0
PRV51015,0,700,0.0,0.0,96,96,4,7,4,3,4,7,8,7,3,3,1,9490,2136,11560,2110,577.0,0.0,8.0,2.0,0.0,0.0
